iter	Passed	Remaining
679	1290	607
680	1292	605
681	1294	603
682	1295	601
683	1296	599
684	1298	596
685	1299	594
686	1300	592
687	1302	590
688	1303	588
689	1306	586
690	1307	584
691	1309	582
692	1311	581
693	1314	579
694	1316	577
695	1318	575
696	1321	574
697	1324	572
698	1325	570
699	1329	569
700	1333	568
701	1336	567
702	1339	565
703	1342	564
704	1345	562
705	1346	560
706	1348	558
707	1349	556
708	1351	554
709	1352	552
710	1354	550
711	1358	549
712	1359	547
713	1362	545
714	1365	544
715	1367	542
716	1370	540
717	1374	539
718	1376	537
719	1378	536
720	1381	534
721	1383	532
722	1386	531
723	1393	531
724	1395	529
725	1397	527
726	1398	525
727	1400	523
728	1402	521
729	1404	519
730	1406	517
731	1408	515
732	1410	513
733	1413	512
734	1415	510
735	1418	508
736	1419	506
737	1422	505
738	1424	503
739	1427	501
740	1430	499
741	1431	497
742	1434	496
743	1436	494
744	1439	492
745	1440	490
746	1443	488
747	1447	487
748	1451	486
749	1453	484
750	1455	482
751	1458	480
752	1460	479
753	1463	477
754	1466	475
755	1468	473
756	1469	471
757	1471	469
758	1473	467
759	1474	465
760	1476	463
761	1477	461
762	1479	459
763	1483	458
764	1485	456
765	1488	454
766	1490	452
767	1493	451
768	1498	450
769	1506	449
770	1508	448
771	1511	446
772	1513	444
773	1517	443
774	1519	441
775	1521	439
776	1523	437
777	1525	435
778	1527	433
779	1528	431
780	1530	429
781	1533	427
782	1536	425
783	1538	424
784	1541	422
785	1543	420
786	1545	418
787	1549	416
788	1550	414
789	1552	412
790	1553	410
791	1556	408
792	1559	407
793	1561	405
794	1565	403
795	1567	401
796	1569	399
797	1571	397
798	1572	395
799	1574	393
800	1575	391
801	1576	389
802	1578	387
803	1579	385
804	1581	382
805	1582	380
806	1584	378
807	1585	376
808	1586	374
809	1588	372
810	1589	370
811	1591	368
812	1592	366
813	1594	364
814	1596	362
815	1598	360
816	1600	358
817	1601	356
818	1603	354
819	1604	352
820	1606	350
821	1607	348
822	1609	346
823	1610	343
824	1611	341
825	1613	339
826	1614	337
827	1616	335
828	1618	333
829	1619	331
830	1620	329
831	1622	327
832	1623	325
833	1625	323
834	1627	321
835	1628	319
836	1630	317
837	1633	315
838	1634	313
839	1636	311
840	1638	309
841	1640	307
842	1642	305
843	1643	303
844	1645	301
845	1646	299
846	1648	297
847	1649	295
848	1651	293
849	1653	291
850	1654	289
851	1656	287
852	1657	285
853	1658	283
854	1660	281
855	1661	279
856	1663	277
857	1664	275
858	1666	273
859	1667	271
860	1669	269
861	1670	267
862	1672	265
863	1673	263
864	1675	261
865	1676	259
866	1678	257
867	1680	255
868	1681	253
869	1682	251
870	1684	249
871	1685	247
872	1687	245
873	1688	243
874	1689	241
875	1692	239
876	1693	237
877	1694	235
878	1696	233
879	1697	231
880	1698	229
881	1700	227
882	1701	225
883	1703	223
884	1704	221
885	1705	219
886	1707	217
887	1708	215
888	1711	213
889	1712	211
890	1714	209
891	1715	207
892	1716	205
893	1718	203
894	1719	201
895	1721	199
896	1722	197
897	1723	195
898	1725	193
899	1726	191
900	1728	189
901	1729	187
902	1730	185
903	1732	183
904	1734	182
905	1735	180
906	1737	178
907	1738	176
908	1739	174
909	1741	172
910	1742	170
911	1743	168
912	1746	166
913	1749	164
914	1751	162
915	1754	160
916	1757	159
917	1758	157
918	1760	155
919	1762	153
920	1763	151
921	1765	149
922	1766	147
923	1768	145
924	1769	143
925	1770	141
926	1772	139
927	1773	137
928	1775	135
929	1776	133
930	1778	131
931	1779	129
932	1781	127
933	1782	125
934	1783	124
935	1785	122
936	1786	120
937	1787	118
938	1790	116
939	1792	114
940	1794	112
941	1795	110
942	1797	108
943	1798	106
944	1800	104
945	1801	102
946	1803	100
947	1805	99
948	1807	97
949	1808	95
950	1810	93
951	1811	91
952	1813	89
953	1814	87
954	1815	85
955	1817	83
956	1818	81
957	1820	79
958	1821	77
959	1822	75
960	1824	74
961	1825	72
962	1826	70
963	1828	68
964	1829	66
965	1831	64
966	1833	62
967	1835	60
968	1837	58
969	1838	56
970	1840	54
971	1841	53
972	1843	51
973	1844	49
974	1846	47
975	1847	45
976	1849	43
977	1850	41
978	1852	39
979	1855	37
980	1857	35
981	1858	34
982	1860	32
983	1861	30
984	1862	28
985	1864	26
986	1866	24
987	1868	22
988	1869	20
989	1871	18
990	1872	17
991	1873	15
992	1875	13
993	1876	11
994	1878	9
995	1879	7
996	1880	5
997	1882	3
998	1883	1
999	1885	0
